specialty,total_services_ontario,physicians_ontario,services_per_physician
Ophthalmology,6496796.0,516.0,12590.68992248062
Dermatology,2592460.0,256.0,10126.796875
Urology,2669636.0,343.0,7783.195335276968
Otolaryngology,2040670.0,307.0,6647.133550488599
Surgical specialists,28387856.0,4519.0,6281.888913476433
Orthopedic surgery,4139755.0,698.0,5930.881088825215
Obstetrics/gynecology,6187822.0,1067.0,5799.270852858482
Gastroenterology,2094378.0,363.0,5769.636363636364
Physical medicine,1338295.0,259.0,5167.1621621621625
Cardiology,3688608.0,774.0,4765.643410852713
Internal medicine,26920804.0,5669.0,4748.774739813018
Plastic surgery,1345279.0,285.0,4720.277192982456
Family medicine,78029621.0,16738.0,4661.824650495878
Total physicians,152525862.0,33588.0,4541.081993569132
General surgery,4553053.0,1009.0,4512.441030723488
Total specialists,74496245.0,16850.0,4421.142136498516
Thoracic/cardiovascular surgery,598715.0,160.0,3741.96875
Medical specialists,46108388.0,12331.0,3739.225366961317
Pediatrics,5929886.0,1717.0,3453.6319161327897
Neurology,1914716.0,558.0,3431.390681003584
Neurosurgery,356127.0,134.0,2657.6641791044776
Psychiatry,5456006.0,2352.0,2319.730442176871
Anesthesia,1956221.0,1520.0,1286.9875
