Most responsible diagnosis for inpatient hospitalizations,Number of hospitalizations with code Z59.0,Percentage of hospitalizations with code Z59.0*
Substance use and related disorders,5378.0,18.34
Schizophrenia spectrum and other psychotic disorders,3123.0,10.65
Cellulitis,2050.0,6.99
Pneumonia,1154.0,3.94
Other mental health disorders†,1067.0,3.64
Mood (affective) disorders,849.0,2.9
COPD and bronchitis,760.0,2.59
Poisoning by narcotics and psychodysleptics,591.0,2.02
Heart failure,386.0,1.32
Type 2 diabetes,344.0,1.17
Notes,,
* Percentage is calculated using all acute inpatient hospitalizations for patients experiencing homelessness in the Hospital Morbidity Database in 2022–2023.,,
"† Other mental health disorders includes disorders such as trauma- and stressor-related disorders, obsessive–compulsive and related disorders, and some others. It excludes mood disorders, anxiety disorders, personality disorders and neurocognitive disorders, which are separate categories (see Table 4 for details) .",,
COPD: Chronic obstructive pulmonary disease. ,,
The reason for hospitalization is based on the most responsible diagnosis. ,,
See Table 4 for the ICD-10-CA coding methodology for the categories shown above. ,,
Source,,
"Hospital Morbidity Database, 2022–2023, Canadian Institute for Health Information.",,
End of worksheet,,
